tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,protected_date
"['python', 'importerror', 'great-expectations']","{'account_id': 7019422, 'reputation': 1863, 'user_id': 5379479, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/pyxkT.jpg?s=256&g=1', 'display_name': 'Jed', 'link': 'https://stackoverflow.com/users/5379479/jed'}",False,242,0,0,1683844685,1683844685,76232039,CC BY-SA 4.0,https://stackoverflow.com/questions/76232039/importerror-from-great-expectations,ImportError from Great Expectations,,,
"['azure-data-lake', 'azure-data-lake-gen2', 'great-expectations']","{'account_id': 13631339, 'reputation': 377, 'user_id': 9833349, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Toivo Mattila', 'link': 'https://stackoverflow.com/users/9833349/toivo-mattila'}",True,185,1,0,1683011780,1682602161,76120999,CC BY-SA 4.0,https://stackoverflow.com/questions/76120999/error-when-using-great-expectations-to-read-csv-from-azure-data-lake-typeerror,Error when using Great Expectations to read CSV from Azure Data Lake: TypeError: read_csv() got an unexpected keyword argument &#39;connect_options&#39;,,76152540.0,
"['python', 'great-expectations']","{'account_id': 1941660, 'reputation': 619, 'user_id': 1747743, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/2dc47a280d2a3a680e54bcad9a804a53?s=256&d=identicon&r=PG', 'display_name': 'BuahahaXD', 'link': 'https://stackoverflow.com/users/1747743/buahahaxd'}",True,361,2,2,1680738133,1679826155,75847136,CC BY-SA 4.0,https://stackoverflow.com/questions/75847136/cannot-run-great-expectations-quickstart,Cannot run Great Expectations quickstart,,,
"['azure-databricks', 'spark-structured-streaming', 'great-expectations', 'data-quality', 'databricks-autoloader']","{'account_id': 1184111, 'reputation': 1407, 'user_id': 1158427, 'user_type': 'registered', 'accept_rate': 31, 'profile_image': 'https://i.stack.imgur.com/Kh6SR.jpg?s=256&g=1', 'display_name': 'Chhaya Vishwakarma', 'link': 'https://stackoverflow.com/users/1158427/chhaya-vishwakarma'}",True,465,1,1,1678671881,1678446733,75695419,CC BY-SA 4.0,https://stackoverflow.com/questions/75695419/using-great-expectations-with-databricks-autolaoder,Using great expectations with databricks autolaoder,1678636211.0,,
"['validation', 'snowflake-cloud-data-platform', 'great-expectations']","{'account_id': 19116925, 'reputation': 117, 'user_id': 13961615, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/nX2d2.jpg?s=256&g=1', 'display_name': 'unkind58', 'link': 'https://stackoverflow.com/users/13961615/unkind58'}",True,166,1,0,1690952827,1678374820,75686538,CC BY-SA 4.0,https://stackoverflow.com/questions/75686538/how-to-configure-a-great-expectations-validation-result-store-to-snowflake,How to configure a Great Expectations [Validation Result Store] to Snowflake,,76814945.0,
"['google-bigquery', 'great-expectations']","{'account_id': 368, 'reputation': 44045, 'user_id': 459, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/0db193fbf6f0929c49dd9704698204ff?s=256&d=identicon&r=PG', 'display_name': 'dlamblin', 'link': 'https://stackoverflow.com/users/459/dlamblin'}",False,305,1,4,1678752830,1677804105,75622192,CC BY-SA 4.0,https://stackoverflow.com/questions/75622192/how-can-i-force-a-partition-filter-to-be-added-to-a-great-expectations-dataset,How can I force a partition filter to be added to a Great Expectations dataset?,,,
['great-expectations'],"{'account_id': 5508973, 'reputation': 2358, 'user_id': 4375983, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/ad316b0d028c098489d7ddcdff4fc7fb?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Imad', 'link': 'https://stackoverflow.com/users/4375983/imad'}",True,158,1,1,1679049005,1677262880,75560100,CC BY-SA 4.0,https://stackoverflow.com/questions/75560100/great-expectations-userconfigurableprofiler-raises-a-metricresolutionerror-unh,Great expectations: UserConfigurableProfiler raises a MetricResolutionError: unhashable type: &#39;dict&#39;,1677507320.0,75766524.0,
['great-expectations'],"{'account_id': 5508973, 'reputation': 2358, 'user_id': 4375983, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/ad316b0d028c098489d7ddcdff4fc7fb?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Imad', 'link': 'https://stackoverflow.com/users/4375983/imad'}",False,98,1,0,1677143258,1677081751,75535270,CC BY-SA 4.0,https://stackoverflow.com/questions/75535270/how-to-create-a-batchrequest-that-returned-a-specific-batch,How to create a `BatchRequest` that returned a specific batch?,,,
['great-expectations'],"{'account_id': 16467699, 'reputation': 1, 'user_id': 11897470, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-hdivEQiawRk/AAAAAAAAAAI/AAAAAAAABm8/EhxgSSr4o1U/photo.jpg?sz=256', 'display_name': 'manas swami', 'link': 'https://stackoverflow.com/users/11897470/manas-swami'}",False,192,1,0,1686687435,1676378786,75448052,CC BY-SA 4.0,https://stackoverflow.com/questions/75448052/great-expectations-expect-values-to-match-regex-rule-gives-out-error-for-all-re,Great Expectations: expect_values_to_match_regex rule gives out error for all regex,,,
"['great-expectations', 'dagster']","{'account_id': 5508973, 'reputation': 2358, 'user_id': 4375983, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/ad316b0d028c098489d7ddcdff4fc7fb?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Imad', 'link': 'https://stackoverflow.com/users/4375983/imad'}",True,274,1,0,1676328630,1676285455,75434895,CC BY-SA 4.0,https://stackoverflow.com/questions/75434895/how-to-use-dagster-with-great-expectations,How to use dagster with great expectations?,1676286044.0,,
"['snowflake-cloud-data-platform', 'great-expectations']","{'account_id': 12680530, 'reputation': 1, 'user_id': 9214421, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d48717af22dfd995fbd785fffb4cdc3f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'canuckdownunder', 'link': 'https://stackoverflow.com/users/9214421/canuckdownunder'}",False,190,0,0,1675835937,1675835040,75381767,CC BY-SA 4.0,https://stackoverflow.com/questions/75381767/how-to-set-up-a-conditional-expectations-for-snowflake-with-great-expectations,How to set up a conditional expectations for Snowflake with Great Expectations?,1675835777.0,,
"['python', 'pandas', 'dataframe', 'databricks', 'great-expectations']","{'account_id': 5931930, 'reputation': 17, 'user_id': 4666117, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-k6xg52O877w/AAAAAAAAAAI/AAAAAAAAApI/CaQMVM6j8ZY/photo.jpg?sz=256', 'display_name': 'Dasa Sathyan', 'link': 'https://stackoverflow.com/users/4666117/dasa-sathyan'}",False,83,0,0,1675748118,1675748118,75369268,CC BY-SA 4.0,https://stackoverflow.com/questions/75369268/row-condition-based-on-length-of-a-column-great-expectations,row_condition based on length of a column great expectations,,,
"['python', 'amazon-s3', 'great-expectations']","{'account_id': 452055, 'reputation': 11746, 'user_id': 848277, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/d5cdc781dc896e21c88f1cd5ad1cc6b1?s=256&d=identicon&r=PG', 'display_name': 'pyCthon', 'link': 'https://stackoverflow.com/users/848277/pycthon'}",False,50,0,0,1674670443,1674663829,75236916,CC BY-SA 4.0,https://stackoverflow.com/questions/75236916/tag-great-expectation-results,Tag great expectation results,1674670443.0,,
"['python', 'pip', 'great-expectations']","{'account_id': 26165439, 'reputation': 36, 'user_id': 19851338, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucqbfW9LlSTLyg-cdvwZtOKr2lyclLhGiTHMpZFU9g=k-s256', 'display_name': 'Dinesh___Reddy', 'link': 'https://stackoverflow.com/users/19851338/dinesh-reddy'}",True,170,1,1,1674642992,1674642797,75232667,CC BY-SA 4.0,https://stackoverflow.com/questions/75232667/getting-error-while-installing-the-great-exepectation-tool-in-local,Getting error while installing the great exepectation tool in local,,,
"['jupyter-notebook', 'windows-subsystem-for-linux', 'wsl-2', 'great-expectations']","{'account_id': 5508973, 'reputation': 2358, 'user_id': 4375983, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/ad316b0d028c098489d7ddcdff4fc7fb?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Imad', 'link': 'https://stackoverflow.com/users/4375983/imad'}",True,202,1,0,1692626214,1674467274,75207783,CC BY-SA 4.0,https://stackoverflow.com/questions/75207783/greatexpectations-data-docs-tutorial-fail-to-work-correctly-on-wsl2,GreatExpectations&#39; data_docs (tutorial) fail to work correctly on WSL2,,,
"['python', 'pandas', 'great-expectations']","{'account_id': 23453249, 'reputation': 40, 'user_id': 18429772, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/078e207b9ae7c7ed88609426d904ae76?s=256&d=identicon&r=PG', 'display_name': 'Elis', 'link': 'https://stackoverflow.com/users/18429772/elis'}",True,220,1,0,1674062039,1674060046,75162482,CC BY-SA 4.0,https://stackoverflow.com/questions/75162482/cant-get-expect-table-columns-to-match-set-to-work,Can&#39;t get expect_table_columns_to_match_set to work,,75162889.0,
"['python', 'pandas', 'dataframe', 'great-expectations']","{'account_id': 23453249, 'reputation': 40, 'user_id': 18429772, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/078e207b9ae7c7ed88609426d904ae76?s=256&d=identicon&r=PG', 'display_name': 'Elis', 'link': 'https://stackoverflow.com/users/18429772/elis'}",True,509,1,4,1674704767,1674053548,75161099,CC BY-SA 4.0,https://stackoverflow.com/questions/75161099/using-great-expectations-with-index-of-pandas-data-frame,Using Great Expectations with index of pandas data frame,1674563688.0,75221568.0,
"['databricks', 'delta-lake', 'great-expectations', 'data-quality']","{'account_id': 13944826, 'reputation': 61, 'user_id': 10069819, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e61a59dcb7509e8b8bc0865b3df34f34?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'S.Dasgupta', 'link': 'https://stackoverflow.com/users/10069819/s-dasgupta'}",False,344,1,0,1674831055,1673854059,75131262,CC BY-SA 4.0,https://stackoverflow.com/questions/75131262/great-expectation-with-delta-table,great expectation with delta table,1673954963.0,,
"['python', 'great-expectations']","{'account_id': 13901521, 'reputation': 1185, 'user_id': 10037034, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-3uWGEEAh9Xg/AAAAAAAAAAI/AAAAAAAAAAc/AerrmoOrjqM/photo.jpg?sz=256', 'display_name': 'Sevval Kahraman', 'link': 'https://stackoverflow.com/users/10037034/sevval-kahraman'}",False,277,0,3,1672316043,1672316043,74950971,CC BY-SA 4.0,https://stackoverflow.com/questions/74950971/how-to-solve-great-expectations-metricresolutionerror-cannot-compile-column-ob,How to solve great expectations &quot;MetricResolutionError: Cannot compile Column object until its &#39;name&#39; is assigned.&quot; Error?,,,
"['python', 'amazon-emr', 'great-expectations']","{'account_id': 10771679, 'reputation': 35, 'user_id': 7925000, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1fd7f7bb61ef0fe3bcbf5aa4cd1fc15d?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Liu Piu', 'link': 'https://stackoverflow.com/users/7925000/liu-piu'}",False,156,2,-1,1672226614,1672139307,74928537,CC BY-SA 4.0,https://stackoverflow.com/questions/74928537/great-expectations-installation-to-aws-emr,Great expectations installation to AWS EMR,,,
"['python', 'great-expectations']","{'account_id': 15939851, 'reputation': 31, 'user_id': 11501925, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/2Kl3f.png?s=256&g=1', 'display_name': 'Fabian Matias Vega Alcota', 'link': 'https://stackoverflow.com/users/11501925/fabian-matias-vega-alcota'}",False,254,1,0,1671799941,1671722570,74890563,CC BY-SA 4.0,https://stackoverflow.com/questions/74890563/great-expectation-error-keyerror-neither-config-nor-config-defaults,Great Expectation - Error: KeyError: &quot;Neither config : {...} nor config_defaults : {} contains a class_name key.&quot;,,,
"['python', 'pandas', 'great-expectations']","{'account_id': 27326563, 'reputation': 1, 'user_id': 20839450, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d29d6e5575c2afd037ee92028581928c?s=256&d=identicon&r=PG', 'display_name': 'James Challis', 'link': 'https://stackoverflow.com/users/20839450/james-challis'}",False,390,1,0,1671974637,1671710846,74888298,CC BY-SA 4.0,https://stackoverflow.com/questions/74888298/great-expectations-generating-data-doc-without-cli-on-in-memory-pandas-datafra,Great Expectations – Generating Data Doc Without CLI on In-Memory Pandas Dataframe,,,
"['snowflake-cloud-data-platform', 'great-expectations']","{'account_id': 97313, 'reputation': 6301, 'user_id': 264028, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/36f7ac943f58da8554cf331110f3305d?s=256&d=identicon&r=PG', 'display_name': 'Joaqu&#237;n L. Robles', 'link': 'https://stackoverflow.com/users/264028/joaqu%c3%adn-l-robles'}",True,289,1,0,1675258303,1671568208,74868585,CC BY-SA 4.0,https://stackoverflow.com/questions/74868585/case-sensitive-table-column-names-in-snowflake-datasource-for-great-expectations,Case sensitive table/column names in Snowflake datasource for Great Expectations,,75310940.0,
"['python', 'airflow', 'kedro', 'great-expectations']","{'account_id': 10698649, 'reputation': 43, 'user_id': 7874825, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/zziIx.jpg?s=256&g=1', 'display_name': 'Dhaval Thakkar', 'link': 'https://stackoverflow.com/users/7874825/dhaval-thakkar'}",True,528,2,2,1671624983,1671550127,74865372,CC BY-SA 4.0,https://stackoverflow.com/questions/74865372/how-to-use-kedro-with-great-expectations,How to use Kedro with Great-expectations?,1671616933.0,,
"['python', 'jupyter', 'great-expectations']","{'account_id': 11371269, 'reputation': 11, 'user_id': 8336780, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/17965d46960c20bbaf9e30bf7bc35407?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Jaehaerys68', 'link': 'https://stackoverflow.com/users/8336780/jaehaerys68'}",True,1989,1,0,1677079075,1671537078,74862699,CC BY-SA 4.0,https://stackoverflow.com/questions/74862699/importerror-cannot-import-name-device-from-partially-initialized-module-zmq,ImportError: cannot import name &#39;_device&#39; from partially initialized module &#39;zmq.backend.cython&#39;,,,
"['python', 'pandas', 'great-expectations']","{'account_id': 1150307, 'reputation': 547, 'user_id': 1132175, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/6d525495182daf1d417f6f5ba60091f3?s=256&d=identicon&r=PG', 'display_name': 'Jorge Cespedes', 'link': 'https://stackoverflow.com/users/1132175/jorge-cespedes'}",False,136,0,0,1670509254,1670509254,74731703,CC BY-SA 4.0,https://stackoverflow.com/questions/74731703/great-expectations-why-does-profiler-throws-error-up-to-0-15-18-but-not-later,Great expectations: why does profiler throws error up to 0.15.18 but not later?,,,
"['python', 'pandas-profiling', 'great-expectations']","{'account_id': 27043888, 'reputation': 33, 'user_id': 20598355, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c125d1513deee0c604ebc50b0cae0e71?s=256&d=identicon&r=PG', 'display_name': 'HenrikS', 'link': 'https://stackoverflow.com/users/20598355/henriks'}",False,376,0,3,1669375264,1669375264,74572044,CC BY-SA 4.0,https://stackoverflow.com/questions/74572044/how-to-create-a-great-expectations-suite-from-a-pandas-profiling-report,How to create a Great Expectations Suite from a Pandas Profiling Report,,,
"['python', 'great-expectations']","{'account_id': 4737034, 'reputation': 3136, 'user_id': 3831137, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/003fb1957645dee7fb26a2e26b88bc66?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'THIS USER NEEDS HELP', 'link': 'https://stackoverflow.com/users/3831137/this-user-needs-help'}",True,925,1,3,1670388092,1668729054,74483457,CC BY-SA 4.0,https://stackoverflow.com/questions/74483457/check-column-names-and-column-types-in-great-expectations,Check column names and column types in Great Expectations,,74700604.0,1670275088.0
"['validation', 'great-expectations']","{'account_id': 25325751, 'reputation': 51, 'user_id': 19146435, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c716f69ab55e866974db22c389e380f0?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Ariadna', 'link': 'https://stackoverflow.com/users/19146435/ariadna'}",False,623,0,5,1691585376,1667926834,74364505,CC BY-SA 4.0,https://stackoverflow.com/questions/74364505/create-expectation-suite-without-cli,Create expectation suite without CLI,,,
"['python', 'azure', 'great-expectations']","{'account_id': 17140129, 'reputation': 93, 'user_id': 14319356, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-9wkZKiePsmU/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdkkG1Cw49rqqkhkzb_5YkW3JLNRw/photo.jpg?sz=256', 'display_name': 'DoubleSteakHouse', 'link': 'https://stackoverflow.com/users/14319356/doublesteakhouse'}",False,478,0,4,1667574664,1667574664,74319157,CC BY-SA 4.0,https://stackoverflow.com/questions/74319157/batch-request-returns-empty-list-with-inferredassetazuredataconnector-in-great-e,Batch Request returns empty list with InferredAssetAzureDataConnector in Great Expectations,,,
"['python', 'validation', 'yaml', 'great-expectations']","{'account_id': 13014449, 'reputation': 63, 'user_id': 9406253, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-D6XN-VUelD4/AAAAAAAAAAI/AAAAAAAAA08/Bey5lZUibe4/photo.jpg?sz=256', 'display_name': 'Stod', 'link': 'https://stackoverflow.com/users/9406253/stod'}",False,645,0,2,1684264306,1667511653,74309832,CC BY-SA 4.0,https://stackoverflow.com/questions/74309832/great-expectations-validator-and-checkpoint-only-seem-to-process-a-single-file,"Great Expectations Validator and Checkpoint only seem to process a single file, not all in the Data Asset",,,
"['python', 'docker', 'dockerfile', 'great-expectations', 'python-docker']","{'account_id': 7272621, 'reputation': 1, 'user_id': 5545082, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-zXa2-JcGTUk/AAAAAAAAAAI/AAAAAAAAAVY/xZgkiHi8qhU/photo.jpg?sz=256', 'display_name': 'Timmy Beatty', 'link': 'https://stackoverflow.com/users/5545082/timmy-beatty'}",True,466,3,0,1691681505,1667491473,74306129,CC BY-SA 4.0,https://stackoverflow.com/questions/74306129/how-does-one-run-great-expectations-from-docker-using-a-dockerfile-to-build-the,How does one run Great Expectations from Docker using a Dockerfile to build the image,,74309350.0,
"['amazon-dynamodb', 'last-modified', 'rowcount', 'great-expectations']","{'account_id': 24470732, 'reputation': 13, 'user_id': 18390511, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxJjRH518GCcqgqHtGvrewYcSAbRMzcqLbx3U0O=k-s256', 'display_name': 'Fortune Musara', 'link': 'https://stackoverflow.com/users/18390511/fortune-musara'}",False,385,0,0,1667210432,1667206860,74260891,CC BY-SA 4.0,https://stackoverflow.com/questions/74260891/great-expectations-result-validation-for-row-count-and-column-freshness,Great Expectations - Result validation for row_count and column_freshness,1667210432.0,,
"['data-quality', 'great-expectations']","{'account_id': 3102821, 'reputation': 4443, 'user_id': 2626491, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/UUSae.jpg?s=256&g=1', 'display_name': 'Alex Woolford', 'link': 'https://stackoverflow.com/users/2626491/alex-woolford'}",False,333,0,1,1666310979,1666193625,74128105,CC BY-SA 4.0,https://stackoverflow.com/questions/74128105/how-can-i-specify-a-different-database-and-schema-to-create-temporary-tables-in,how can I specify a different database and schema to create temporary tables in Great Expectations?,1666310979.0,,
"['python', 'data-quality', 'great-expectations']","{'account_id': 19260013, 'reputation': 355, 'user_id': 14076103, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d7598eb7d6b8e1c39a5f5485e08092ff?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'code_bug', 'link': 'https://stackoverflow.com/users/14076103/code-bug'}",False,352,1,1,1665402347,1665129647,73984122,CC BY-SA 4.0,https://stackoverflow.com/questions/73984122/python-great-expectation-compatible-with-pyspark,python great expectation compatible with pyspark,,,
"['python', 'data-quality', 'great-expectations']","{'account_id': 19260013, 'reputation': 355, 'user_id': 14076103, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d7598eb7d6b8e1c39a5f5485e08092ff?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'code_bug', 'link': 'https://stackoverflow.com/users/14076103/code-bug'}",False,181,0,0,1665038064,1665038064,73969495,CC BY-SA 4.0,https://stackoverflow.com/questions/73969495/python-great-expectations-memory-error-for-unique-check,python Great Expectations memory error for unique check,,,
['great-expectations'],"{'account_id': 8709611, 'reputation': 616, 'user_id': 6516240, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://lh3.googleusercontent.com/-xF2Uh_PvNOM/AAAAAAAAAAI/AAAAAAAAADk/Yj0xbysl7CY/photo.jpg?sz=256', 'display_name': 'Adil Blanco', 'link': 'https://stackoverflow.com/users/6516240/adil-blanco'}",False,780,0,1,1665149496,1664928419,73954759,CC BY-SA 4.0,https://stackoverflow.com/questions/73954759/great-expectations-how-to-connect-to-data-stored-in-s3,Great-Expectations: How to connect to data stored in S3,1664935898.0,,
